iter	Passed	Remaining
0	10	75802
1	16	60691
2	22	57659
3	29	54587
4	43	65319
5	52	66226
6	79	85397
7	100	94410
8	117	98295
9	141	106434
10	159	108864
11	172	108091
12	189	109465
13	207	111204
14	228	114713
15	248	116754
16	268	118641
17	282	117936
18	296	117245
19	318	119491
20	334	119449
21	341	116401
22	348	113903
23	354	110868
24	360	108139
25	367	105937
26	372	103616
27	383	102689
28	389	100662
29	394	98739
30	411	99667
31	424	99595
32	433	98570
33	446	98499
34	452	96921
35	464	96672
36	470	95370
37	477	94067
38	481	92555
39	486	91043
40	500	91466
41	516	92127
42	528	92078
43	537	91505
44	542	90302
45	547	89054
46	552	87915
47	557	86940
48	562	85902
49	567	84896
50	572	83903
51	576	82944
52	591	83460
53	605	83777
54	619	84144
55	629	84020
56	636	83476
57	649	83672
58	659	83463
59	664	82735
60	669	81968
61	686	82719
62	703	83432
63	709	82764
64	714	82085
65	726	82118
66	733	81698
67	738	81089
68	751	81287
69	766	81729
70	779	81852
71	795	82417
72	801	81898
73	807	81325
74	812	80792
75	818	80244
76	826	79971
77	833	79607
78	838	79078
79	842	78498
80	849	78087
81	854	77602
82	869	78007
83	878	77880
84	885	77608
85	891	77159
86	896	76694
87	901	76265
88	907	75871
89	914	75648
90	920	75235
91	925	74825
92	930	74408
93	936	74079
94	941	73670
95	959	74313
96	970	74343
97	980	74372
98	991	74410
99	998	74219
100	1003	73830
101	1018	74153
102	1031	74386
103	1047	74789
104	1056	74699
105	1062	74403
106	1067	74095
107	1072	73736
108	1078	73450
109	1084	73137
110	1089	72823
111	1094	72472
112	1100	72256
113	1107	72035
114	1112	71749
115	1118	71493
116	1128	71529
117	1143	71822
118	1156	72011
119	1161	71742
120	1170	71696
121	1177	71501
122	1182	71227
123	1196	71449
124	1215	71998
125	1230	72299
126	1244	72554
127	1259	72871
128	1274	73136
129	1288	73368
130	1304	73661
131	1320	73997
132	1337	74394
133	1349	74470
134	1356	74292
135	1361	74017
136	1367	73797
137	1373	73572
138	1380	73397
139	1385	73146
140	1392	72959
141	1403	73015
142	1408	72788
143	1415	72636
144	1425	72630
145	1439	72825
146	1452	72952
147	1469	73292
148	1479	73281
149	1485	73118
150	1494	73039
151	1507	73206
152	1517	73199
153	1522	72943
154	1528	72724
155	1533	72515
156	1539	72313
157	1544	72084
158	1550	71890
159	1555	71655
160	1560	71423
161	1565	71208
162	1571	71014
163	1576	70801
164	1582	70662
165	1587	70435
166	1602	70678
167	1613	70715
168	1624	70786
169	1630	70603
170	1642	70695
171	1648	70529
172	1661	70673
173	1669	70606
174	1674	70407
175	1680	70232
176	1687	70092
177	1696	70066
178	1703	69958
179	1711	69896
180	1717	69740
181	1723	69602
182	1730	69464
183	1735	69280
184	1740	69123
185	1746	68959
186	1751	68776
187	1768	69073
188	1779	69112
189	1789	69128
190	1795	68986
191	1807	69075
192	1814	68971
193	1826	69071
194	1833	68958
195	1839	68834
196	1850	68875
197	1865	69106
198	1877	69172
199	1887	69184
200	1897	69209
201	1908	69241
202	1917	69234
203	1927	69212
204	1936	69216
205	1946	69214
206	1956	69218
207	1965	69186
208	1970	69050
209	1977	68942
210	1987	68952
211	1996	68919
212	2004	68878
213	2010	68726
214	2015	68578
215	2021	68471
216	2037	68658
217	2050	68795
218	2061	68819
219	2069	68759
220	2074	68608
221	2080	68505
222	2085	68360
223	2094	68309
224	2099	68183
225	2108	68147
226	2114	68029
227	2122	67971
228	2137	68170
229	2152	68315
230	2167	68481
231	2181	68628
232	2194	68749
233	2208	68855
234	2220	68952
235	2235	69100
236	2244	69081
237	2255	69127
238	2262	69018
239	2268	68920
240	2274	68793
241	2280	68676
242	2285	68557
243	2291	68437
244	2297	68315
