iter	MAE	RMSE
0	17266.78228	20453.90905
1	15977.68868	19071.72508
2	14784.26037	17843.97264
3	13680.35313	16674.64126
4	12659.4463	15568.93329
5	11715.61224	14563.14119
6	10844.09152	13613.98726
7	10039.46069	12736.47256
8	9292.577863	11944.00732
9	8603.472685	11214.23074
10	7971.992787	10544.42509
11	7389.993711	9924.4817
12	6856.666213	9360.480897
13	6370.071774	8856.726639
14	5920.444874	8401.610735
15	5509.575675	7976.760879
16	5143.111188	7594.042245
17	4805.058584	7234.0519
18	4501.30486	6895.152803
19	4233.349669	6594.555241
20	3985.678919	6294.71234
21	3778.487082	6043.645037
22	3591.79282	5822.335649
23	3420.592038	5612.974319
24	3273.466069	5425.337712
25	3136.072896	5257.387701
26	3016.438562	5102.518645
27	2907.101409	4958.165553
28	2810.759131	4802.030811
29	2727.586676	4683.657623
30	2651.825775	4581.399991
31	2582.120952	4498.474351
32	2521.943609	4417.199601
33	2473.407514	4322.632927
34	2425.527404	4233.437629
35	2384.669662	4169.062639
36	2348.501807	4113.038293
37	2314.930419	4057.293723
38	2284.371864	3993.756816
39	2256.009522	3941.988385
40	2226.721871	3894.515879
41	2199.265879	3854.169007
42	2175.942518	3808.950224
43	2160.072047	3782.342687
44	2138.869841	3744.917976
45	2121.368367	3707.631667
46	2107.97984	3685.246366
47	2093.634692	3654.732683
48	2076.217481	3624.816228
49	2059.953644	3585.256647
50	2046.241873	3546.554485
51	2035.074236	3527.485058
52	2021.361325	3500.742105
53	2012.174382	3480.736528
54	1999.337778	3463.423335
55	1989.796236	3443.344535
56	1984.142217	3433.009463
57	1976.617733	3418.472821
58	1964.922514	3402.535391
59	1957.530528	3390.142633
60	1951.131236	3381.97073
61	1940.070466	3365.466759
62	1933.257387	3357.683896
63	1927.839507	3344.590478
64	1918.931466	3325.359164
65	1913.796306	3308.388747
66	1906.786083	3290.118029
67	1897.707514	3274.794293
68	1889.111821	3263.636226
69	1882.748903	3243.929764
70	1878.712393	3229.950828
71	1871.35163	3220.128399
72	1867.634582	3206.602048
73	1860.529252	3196.022634
74	1855.495457	3157.546015
75	1850.288246	3148.909957
76	1842.959302	3137.994429
77	1838.749117	3131.68596
78	1832.778424	3122.55184
79	1827.566494	3118.10962
80	1822.959423	3111.633287
81	1817.630747	3094.757311
82	1811.082294	3085.727715
83	1804.564743	3069.130156
84	1799.924102	3058.55815
85	1796.141785	3051.643144
86	1793.585805	3032.50449
87	1787.752196	3026.234116
88	1781.875596	3017.989788
89	1779.495741	3016.197803
90	1770.340295	2998.939735
91	1765.728499	2985.239846
92	1760.264401	2972.188441
93	1753.514249	2962.554867
94	1746.5703	2955.353108
95	1743.725603	2951.210623
96	1740.222187	2943.819563
97	1734.541529	2929.535612
98	1730.116246	2918.054811
99	1725.202765	2912.714391
100	1718.797586	2896.919462
101	1715.888277	2888.918069
102	1711.349065	2880.785378
103	1708.002837	2875.835374
104	1704.009954	2872.241999
105	1701.524566	2866.731436
106	1697.101444	2859.618713
107	1694.098948	2855.480028
108	1690.510981	2849.791369
109	1684.210443	2838.086563
110	1677.756626	2825.042048
111	1674.794952	2816.723475
112	1670.742977	2812.916469
113	1665.196169	2802.626629
114	1663.074871	2797.061957
115	1658.924504	2791.64617
116	1655.029392	2780.902834
117	1652.346685	2747.196468
118	1648.599805	2742.691226
119	1644.677646	2739.272604
120	1640.301542	2730.99461
121	1637.759924	2724.168913
122	1636.323447	2713.631016
123	1634.158437	2708.622996
124	1629.574357	2699.917739
125	1623.736593	2692.15962
126	1619.461652	2683.804565
127	1615.578071	2671.573964
128	1613.363629	2669.027001
129	1609.96333	2663.526771
130	1607.464608	2657.456323
131	1603.218393	2652.817869
132	1600.373983	2645.088292
133	1594.95413	2631.253888
134	1592.448473	2623.728969
135	1589.906064	2616.355196
136	1585.341174	2604.721677
137	1582.546695	2599.985679
138	1579.160572	2568.771794
139	1574.890984	2560.890624
140	1574.63801	2558.453927
141	1572.692494	2553.135462
142	1566.946352	2547.847992
143	1561.280638	2542.445761
144	1557.140217	2538.614388
145	1553.743726	2529.177342
146	1549.623375	2519.37819
147	1547.366628	2513.079087
148	1543.567338	2507.811919
149	1540.794507	2503.188449
150	1536.48749	2496.669343
151	1533.881377	2490.775301
152	1532.127111	2485.545066
153	1529.317418	2458.387413
154	1527.95871	2454.088888
155	1526.095694	2449.431168
156	1521.571555	2444.517639
157	1518.27135	2440.407224
158	1515.702976	2435.298017
159	1513.131966	2424.529165
160	1511.771274	2419.787036
161	1509.689648	2404.526318
162	1505.904019	2398.437544
163	1502.991135	2395.351484
164	1499.546586	2389.834839
165	1498.551273	2387.100577
166	1495.746932	2383.400129
