iter	MAE	RMSE
0	7104.093888	10935.00808
1	6682.272806	10333.38059
2	6296.623061	9763.6144
3	5924.071647	9236.259244
4	5598.084345	8761.835434
5	5289.950126	8319.955936
6	5002.169858	7909.297136
7	4733.849648	7517.440701
8	4506.341556	7188.943804
9	4279.846252	6867.294034
10	4069.280855	6569.474207
11	3909.780536	6347.842585
12	3742.316161	6109.576082
13	3594.376293	5889.923478
14	3454.246421	5690.849393
15	3321.926851	5482.138911
16	3216.102285	5315.79108
17	3113.72977	5160.698514
18	3016.517601	4991.545393
19	2938.150946	4848.707706
20	2861.540725	4718.695068
21	2786.517744	4586.535325
22	2723.152246	4468.603599
23	2663.807588	4376.720801
24	2601.267685	4258.485953
25	2535.845385	4162.97188
26	2484.235746	4067.607509
27	2430.798631	3981.976989
28	2389.845219	3910.066966
29	2345.701929	3832.568262
30	2312.956965	3771.932246
31	2270.617025	3697.066089
32	2237.946871	3637.928523
33	2211.219508	3591.282853
34	2185.208177	3544.536905
35	2156.875672	3497.052801
36	2135.630346	3459.889653
37	2118.515567	3426.032577
38	2093.724925	3385.061279
39	2078.771307	3360.480793
40	2061.554387	3327.03792
41	2047.100568	3292.176667
42	2033.34668	3267.899155
43	2018.817601	3246.951453
44	2006.463878	3216.905363
45	1994.994159	3199.843968
46	1981.493082	3172.143813
47	1968.749706	3141.98944
48	1953.841645	3116.200933
49	1943.071682	3093.956302
50	1932.918803	3069.964293
51	1925.581985	3054.230166
52	1918.205991	3032.111544
53	1912.716362	3021.187117
54	1905.274279	3002.994755
55	1896.453146	2985.308444
56	1889.096823	2975.620649
57	1879.176116	2950.166637
58	1870.613997	2936.808088
59	1862.161942	2922.581883
60	1855.066511	2906.28528
61	1845.879193	2889.216857
62	1840.235142	2875.430041
63	1831.966972	2852.687751
64	1827.351027	2844.709619
65	1821.51722	2831.98724
66	1812.041342	2817.560593
67	1803.601815	2800.767665
68	1796.605315	2787.753638
69	1790.848641	2774.649337
70	1782.680786	2763.60533
71	1777.209335	2750.794171
72	1771.995122	2744.083855
73	1766.253919	2731.193432
74	1760.630454	2722.793271
75	1756.743808	2719.244158
76	1752.385374	2710.504389
77	1745.031304	2699.129595
78	1740.268852	2685.202964
79	1734.285174	2670.462178
80	1729.277351	2662.069386
81	1723.096462	2648.341189
82	1717.559555	2635.837568
83	1717.433186	2635.490354
84	1712.596351	2630.739807
85	1708.592341	2622.756389
86	1703.096198	2611.50454
87	1702.477923	2610.865917
88	1698.629369	2606.554314
89	1689.996957	2592.990159
90	1683.296999	2580.426882
91	1679.206741	2568.369481
92	1674.755302	2556.39531
93	1670.787702	2552.080624
94	1664.767369	2541.483266
95	1660.292699	2532.154537
96	1657.194178	2526.404028
97	1652.609592	2516.120977
98	1646.422181	2506.56037
99	1644.222774	2501.90664
100	1639.785981	2490.775228
101	1634.892065	2484.734434
102	1632.195056	2480.940808
103	1629.074837	2476.137564
104	1625.521765	2467.743128
105	1621.116649	2462.466017
106	1618.208163	2453.853553
107	1615.761398	2451.143668
108	1611.364911	2446.579298
109	1606.861698	2438.978584
110	1602.438912	2434.633933
111	1595.17328	2423.419865
112	1591.732667	2415.356539
113	1588.443239	2406.441879
114	1584.542413	2400.229018
115	1581.074868	2393.532734
116	1577.507814	2387.229399
117	1572.391178	2379.0724
118	1567.143642	2370.29374
119	1563.394815	2364.249699
120	1560.182704	2360.059549
121	1554.43427	2353.8278
122	1551.513315	2346.447365
123	1548.078566	2339.570799
124	1543.982025	2334.030835
125	1538.611772	2326.625184
126	1535.185839	2318.297709
127	1532.460955	2309.792353
128	1530.687599	2304.802316
129	1527.793723	2298.807795
130	1524.962443	2291.193259
131	1522.918418	2285.344045
132	1519.74918	2279.107193
133	1517.38353	2273.610675
134	1515.919825	2269.564991
135	1513.895456	2266.998482
136	1511.068473	2260.091366
137	1508.534987	2252.913612
138	1505.796659	2249.010711
139	1503.381656	2244.771781
140	1498.95981	2237.007895
141	1496.890699	2231.14497
142	1494.465923	2227.586603
143	1490.277837	2218.662461
144	1488.974062	2216.176477
145	1485.989682	2212.306752
146	1483.403158	2205.636817
147	1479.712054	2199.609359
148	1476.633302	2193.813257
149	1472.741059	2190.411435
150	1468.993086	2185.650611
151	1466.782617	2179.835645
152	1463.129285	2174.137706
153	1461.811622	2171.116365
154	1461.065393	2169.38046
155	1459.333094	2166.633799
156	1454.424333	2160.875235
157	1451.20971	2157.314452
158	1445.990863	2148.908277
159	1444.109851	2143.740458
160	1441.467284	2139.425826
161	1438.536061	2131.630563
162	1434.471967	2125.352736
163	1432.501933	2119.568178
164	1430.521431	2116.258121
165	1428.892304	2111.967337
166	1426.992872	2107.230771
167	1424.546691	2102.997911
168	1422.716589	2100.968555
169	1420.022722	2095.426829
170	1417.491103	2092.228998
171	1416.408677	2089.690101
172	1413.724974	2086.657567
173	1411.429774	2082.804704
174	1407.280121	2077.112179
175	1406.031972	2073.365507
176	1402.902722	2067.36148
177	1399.310066	2060.785747
178	1395.871253	2055.554701
179	1394.036596	2051.891195
180	1391.352742	2043.947041
181	1389.006767	2037.990822
182	1386.818491	2033.105969
183	1385.232061	2029.298191
184	1382.646299	2026.687421
185	1381.126125	2022.682306
186	1378.741759	2017.738789
187	1376.182233	2013.636577
188	1374.282988	2011.845648
189	1372.751115	2009.896297
190	1370.78584	2004.362512
191	1368.464394	2000.72663
192	1366.003282	1994.663303
193	1364.004124	1989.9673
194	1362.024682	1985.159084
195	1360.159691	1981.827232
196	1356.357377	1978.722614
197	1353.961701	1975.223248
198	1351.864013	1970.966033
199	1349.439359	1967.835001
200	1348.771696	1966.492566
201	1347.342957	1964.086692
202	1345.027051	1961.449447
203	1342.819646	1955.77699
204	1340.839621	1950.830241
205	1338.517808	1948.102934
206	1336.258506	1946.12806
207	1334.287455	1942.464486
208	1332.090686	1935.40872
209	1329.770719	1928.492592
210	1327.73921	1924.151732
211	1325.428567	1918.415476
212	1322.132827	1912.510034
213	1320.065757	1909.921255
214	1318.549067	1907.514203
215	1316.38963	1903.904319
216	1314.733988	1900.674302
217	1313.441762	1897.383216
218	1312.044402	1893.361809
219	1310.650484	1889.788277
220	1308.193622	1883.598318
221	1306.770383	1882.546501
222	1305.263763	1880.486063
223	1303.342206	1878.643611
224	1301.680762	1875.153631
225	1299.860794	1872.115576
226	1298.430527	1868.511545
227	1296.579184	1864.921677
228	1294.952211	1861.795171
229	1293.44854	1858.45905
230	1291.086822	1853.937529
231	1288.795237	1851.893715
232	1287.131593	1848.994221
233	1285.384295	1844.441562
234	1284.069005	1841.925706
235	1280.958077	1836.330067
236	1279.313083	1834.758084
237	1278.530704	1832.655489
238	1275.913866	1827.586717
239	1274.924847	1825.426139
240	1272.943452	1823.494919
241	1271.824036	1820.768077
242	1268.890944	1817.267262
243	1267.94579	1815.32801
244	1266.219464	1813.82996
245	1264.193359	1809.709145
246	1262.437141	1806.725772
247	1261.1858	1804.234227
248	1259.466145	1801.719216
249	1258.573747	1800.090631
250	1256.969797	1795.680516
251	1255.892527	1793.113041
252	1253.444863	1789.700076
253	1252.906271	1788.654259
254	1251.720285	1787.266155
255	1250.797137	1785.790031
256	1249.608827	1784.022685
257	1248.499491	1782.015257
258	1246.909658	1779.47493
259	1244.349209	1773.49066
