iter	Passed	Remaining
0	6	48897
1	12	47604
2	17	44662
3	22	41788
4	26	39989
5	32	40317
6	36	39640
7	42	39621
8	47	39371
9	52	39728
10	58	39981
11	62	38860
12	66	38417
13	71	38147
14	75	37635
15	79	37442
16	84	37389
17	88	36958
18	94	37366
19	98	37149
20	103	37012
21	108	36866
22	113	36993
23	117	36739
24	125	37769
25	130	37737
26	135	37626
27	139	37479
28	144	37351
29	149	37493
30	153	37233
31	158	37048
32	162	36881
33	167	36832
34	171	36695
35	175	36457
36	179	36270
37	183	36204
38	187	36000
39	193	36256
40	202	36904
41	207	37000
42	212	36986
43	218	37105
44	222	37091
45	227	37011
46	232	37065
47	237	36972
48	241	36832
49	245	36703
50	248	36500
51	253	36520
52	258	36469
53	263	36443
54	269	36658
55	273	36546
56	278	36468
57	282	36340
58	286	36312
59	290	36209
60	296	36258
61	307	37012
62	311	36879
63	314	36746
64	319	36707
65	323	36614
66	328	36578
67	334	36752
68	340	36818
69	345	36810
70	349	36746
71	354	36705
72	358	36618
73	365	36807
74	369	36739
75	374	36710
76	379	36722
77	384	36704
78	389	36780
79	395	36823
80	399	36775
81	404	36710
82	408	36633
83	409	36321
84	414	36311
85	420	36427
86	426	36450
87	427	36198
88	432	36123
89	439	36358
90	450	36842
91	455	36857
92	461	36904
93	465	36830
94	471	36883
95	475	36821
96	482	36985
97	487	36978
98	494	37094
99	498	37023
100	503	37049
101	507	36990
102	513	37034
103	518	37007
104	521	36893
105	525	36832
106	530	36812
107	535	36772
108	538	36690
109	543	36666
110	547	36630
111	553	36639
112	557	36627
113	562	36599
114	566	36559
115	571	36529
116	575	36489
117	580	36470
118	585	36455
119	589	36408
120	594	36389
121	598	36345
122	602	36273
123	606	36236
124	610	36197
125	615	36165
126	619	36127
127	625	36167
128	631	36218
129	635	36206
130	641	36226
131	646	36233
132	650	36188
133	655	36157
134	660	36160
135	664	36158
136	669	36126
137	675	36201
138	680	36208
139	684	36158
140	689	36138
141	693	36093
142	698	36078
143	702	36046
144	706	36004
145	711	35974
146	717	36058
147	722	36051
148	727	36044
149	732	36020
150	737	36041
151	743	36074
152	748	36084
153	753	36076
154	758	36080
155	763	36079
156	768	36116
157	773	36093
158	778	36078
159	783	36082
160	789	36144
161	794	36121
162	798	36075
163	806	36250
164	813	36298
165	818	36321
166	825	36405
167	830	36394
168	835	36401
169	841	36420
170	848	36510
171	852	36494
172	857	36455
173	861	36439
174	866	36428
175	871	36401
176	875	36382
177	880	36391
178	885	36371
179	894	36514
180	899	36526
181	904	36531
182	909	36518
183	914	36510
184	919	36529
185	924	36501
186	930	36525
187	935	36534
188	940	36533
189	946	36552
190	950	36522
191	955	36541
192	960	36529
193	965	36512
194	970	36511
195	976	36532
196	981	36548
197	986	36521
198	990	36486
199	994	36455
200	999	36454
201	1003	36426
202	1007	36382
203	1012	36358
204	1017	36370
205	1022	36359
206	1027	36356
207	1032	36358
208	1038	36388
209	1043	36389
210	1052	36506
211	1056	36488
212	1062	36518
213	1068	36535
214	1073	36523
215	1079	36566
216	1085	36588
217	1091	36608
218	1096	36622
219	1101	36597
220	1107	36641
221	1112	36637
222	1118	36649
223	1122	36630
224	1127	36611
225	1132	36594
226	1136	36574
227	1141	36560
228	1146	36545
229	1151	36546
230	1156	36563
231	1163	36590
232	1167	36569
233	1172	36572
234	1178	36593
235	1183	36584
236	1188	36567
237	1192	36551
238	1197	36540
239	1201	36509
240	1206	36493
241	1210	36463
242	1214	36430
243	1219	36409
244	1225	36436
245	1231	36472
246	1236	36463
247	1242	36502
248	1248	36507
249	1253	36500
250	1259	36520
251	1264	36519
252	1268	36504
253	1272	36467
254	1278	36471
255	1283	36460
256	1288	36470
257	1292	36446
258	1297	36430
259	1302	36414
260	1307	36410
261	1311	36396
262	1317	36400
263	1323	36418
264	1327	36405
265	1332	36387
266	1336	36359
267	1341	36357
268	1346	36360
269	1351	36350
270	1356	36337
271	1361	36331
272	1365	36313
273	1370	36310
274	1375	36289
275	1381	36320
276	1386	36307
277	1391	36292
278	1395	36285
279	1400	36269
280	1405	36264
281	1410	36257
282	1414	36237
283	1420	36237
284	1424	36218
285	1429	36223
286	1434	36212
287	1439	36203
288	1443	36178
289	1448	36168
290	1453	36162
291	1458	36153
292	1463	36141
293	1467	36124
294	1472	36119
295	1477	36111
296	1483	36127
297	1488	36135
298	1494	36149
299	1499	36139
300	1504	36130
301	1509	36134
302	1514	36119
303	1518	36103
304	1524	36117
305	1528	36094
306	1533	36086
307	1539	36092
308	1543	36071
309	1547	36052
310	1552	36033
311	1559	36074
312	1563	36065
313	1569	36066
314	1573	36054
315	1580	36096
316	1587	36125
317	1594	36155
318	1598	36137
319	1605	36177
320	1610	36173
321	1615	36168
322	1620	36162
323	1624	36144
324	1629	36134
325	1634	36125
326	1638	36097
327	1643	36099
328	1648	36086
329	1653	36076
330	1658	36082
331	1663	36081
332	1668	36056
333	1674	36081
334	1679	36071
335	1685	36084
336	1689	36069
337	1693	36048
338	1698	36037
339	1702	36012
340	1707	35998
341	1713	36010
342	1718	36006
343	1723	36001
344	1729	36014
345	1733	36001
346	1737	35979
347	1742	35973
348	1747	35956
349	1752	35949
350	1756	35938
351	1761	35934
352	1767	35950
353	1773	35954
354	1778	35953
355	1785	35989
356	1791	35998
357	1796	35988
358	1801	35995
359	1806	35978
360	1810	35968
361	1814	35941
362	1819	35937
363	1823	35911
364	1828	35905
365	1833	35896
366	1838	35879
367	1843	35874
368	1848	35882
369	1853	35878
370	1858	35860
371	1862	35850
372	1867	35840
373	1874	35867
374	1878	35854
375	1883	35850
376	1889	35855
377	1894	35845
378	1900	35871
